,ГОСТ,"Цена, р./пог.м","Цена, р./кг",Размер,"Цена, р./шт.","Цена, р./т",Доп. размер,Наименование,Сталь,"Цена, р./м2",Компания,Город
15964, ГОСТ 8510-86 ,,, 100х63х8,,109 300 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15965, ГОСТ 8509-93 ,,, 100х100х7,,64 200 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15966, ГОСТ 8509-93 ,,, 100х100х8,,64 200 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15967, ГОСТ 8509-93 ,,, 100х100х10,,64 200 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15968, ГОСТ 8509-93 ,,, 200х200х12,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15969, ГОСТ 8509-93 ,,, 100х100х7,,75 800 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15970, ГОСТ 8509-93 ,,, 100х100х10,,75 800 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15971, ГОСТ 8509-93 ,,, 110х110х8,,64 800 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15972, GB/T 706-16 ,,, 125х80х8,,137 800 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15973, ГОСТ 8509-93 ,,, 125х125х8,,65 800 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15974, ГОСТ 8509-93 ,,, 125х125х8,,65 800 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15975, ГОСТ 8509-93 ,,, 125х125х9,,65 800 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15976, ГОСТ 8509-93 ,,, 125х125х10,,65 800 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15977, ГОСТ 8509-93 ,,, 100х100х8,,75 800 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15978, ГОСТ 8509-93 ,,, 40х40х4,,65 000 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Казань
15979, ГОСТ 8509-93 ,,, 40х40х5,,55 640 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Казань
15980, ГОСТ 8509-93 ,,, 40х40х5,,звоните ,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Казань
15981, ГОСТ 8509-93 ,,, 25х25х3,,72 830 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15982, ГОСТ 8509-93 ,,, 25х25х4,,71 300 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15983, ГОСТ 8509-93 ,,, 25х25х4,,71 300 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15984, ГОСТ 8509-93 ,,, 25х25х3,,92 210 >10т,11.7,Уголок  ,09Г2С,,Сталепромышленная компания,Екатеринбург
15985, ГОСТ 8509-93 ,,, 25х25х4,,88 640 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15986, ГОСТ 8509-93 ,,, 25х25х4,,88 640 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15987, ГОСТ 8509-93 ,,, 32х32х3,,71 810 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15988, ГОСТ 8509-93 ,,, 25х25х3,,72 830 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15989, ГОСТ 8509-93 ,,, 32х32х4,,70 790 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15990, ГОСТ 8509-93 ,,, 32х32х3,,87 620 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15991, ГОСТ 8509-93 ,,, 32х32х4,,90 680 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15992, ГОСТ 8509-93 ,,, 32х32х4,,90 680 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15993, ГОСТ 8509-93 ,,, 35х35х3,,71 300 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
